Drug_wlkffqozug : (Drug_ueahriohcd,Eff_gaftvdwbrs) 
Drug_dvjdqwqgnx : (Drug_vozollpzkb,Eff_gfeyjepmje) 
Drug_zzbscxrerm : (Drug_brrdawwebo,Eff_kekxsmfkao) 
Drug_hmqzhpjlab : (Drug_mbpogycfem,Eff_nrrppsofyp) 
Drug_zogaoigamx : (Drug_lhwiqxzvqy,Eff_mokuztetvj) 
Drug_rrxpidynff : (Drug_goaaufmptp,Eff_xodijpldor) 
Drug_cmeekduknp : (Drug_gcpbxjrcdq,Eff_kjkublyyeg) 
Drug_rowyfhrkfz : (Drug_wfqqmgsqnh,Eff_bfihzhqgfu) 
Drug_kysfrlifts : (Drug_akqfmxbhhl,Eff_fztwxmwzib) 
Drug_ceheuribtq : (Drug_qfunidtkrx,Eff_gftmmkwgba) 
Drug_fqdzifdwiq : (Drug_smahryjlir,Eff_kvypppwjtg) 
Drug_eikjdhtvwl : (Drug_uectvxakij,Eff_zmiurfmxei) ; (Drug_yeojettyga,Eff_wgzontycks) 
Drug_njfurvwtjy : (Drug_ylyjgfxthg,Eff_zbidbpmebt) 
Drug_qixwbyejgz : (Drug_oncnsxeeve,Eff_xthabdlssg) 
Drug_mrvaebiuue : (Drug_vcbnshvrzn,Eff_xgjinwxlkq) 
Drug_xdpacysfog : (Drug_zrpiehbdyu,Eff_mbctdmklbf) 
Drug_uupdqrweno : (Drug_rshgsougzx,Eff_qczjhgmvpf) ; (Drug_sumbftjvsw,Eff_rqfnokahjw) 
Drug_lusnjizqkr : (Drug_slknrurcqb,Eff_qsrsmkhqeb) 
Drug_qxkwbvwbnq : (Drug_vcatflnibd,Eff_lfcizphmik) 
Drug_ezfqdbgqfo : (Drug_zytvrffhja,Eff_hzhiqqydmu) 
Drug_twlcyiztle : (Drug_lfivejayub,Eff_giehgzlarc) ; (Drug_tslgrzedkr,Eff_qbopkecofh) 
